DialogType(0),Name(000),Situation(00),ConditionType(0),ConditionOperator(0),ConditionValue(00),Emotion,NextId,OptionIdList,Ext1,TargetType,TargetOperator,TargetValue,ScheduleType,Korean(ko),English(en)
NORMAL,PRINCESS,INTRO,,,,HAPPY,1,,,,,,,안녕 아빠!,
NORMAL,PRINCESS,,,,,HAPPY,1,,,,,,,오늘따라 오랜만에 보는 것 같은 기분이 드네!,
NORMAL,PRINCESS,,,,,IDLE,1,,,,,,,콜록 콜록..,
NORMAL,PRINCESS,,,,,IDLE,1,,,,,,,기침이 조금 심해진 것 같아,
NORMAL,PRINCESS,,,,,IDLE,1,,,,,,,아빠는 오늘도 일하러 가야겠지..,
NORMAL,PRINCESS,,,,,HAPPY,0,,ACT,MOOD,`+,1,,일단 아침부터 먹어볼까?,
,,,,,,,,,,,,,,,
NORMAL,PRINCESS,MORNING,,,,IDLE,1,,,,,,,아빠! 잘 잤어요?,
NORMAL,PRINCESS,,,,,IDLE,0,,ACT,,,,,오늘은 뭘 할까?,
,,,,,,,,,,,,,,,
CONDITION,PRINCESS,MORNING,VITALITY,<,2,IDLE,1,,,,,,,몸에 힘이 없네요§기운이 없어§잠을 잘 못잔거 같에,
NORMAL,PRINCESS,,,,,IDLE,0,,ACT,,,,,오늘은 뭘 할까?,
CONDITION,PRINCESS,MORNING,VITALITY,>,3,IDLE,1,,,,,,,"굿모닝 아빠!§좋은 아침이야!§아직도 자는거야?!§날씨가 너무 좋아! 아빠, 뭐 하러 가?§기지개 쭉— 하니까 몸이 날아갈 것 같아!§오늘은 왠지 좋은 일이 생길 것 같지 않아?§음~ 아침 냄새! 밥부터 먹자, 응§으음… 아직 조금 졸려. 그래도 일어나야지.§오늘도 별일 없으면 좋겠다. 그냥 조용한 하루.§아빠 먼저 일어났지? 나 들켰다, 게으른 거.§어제 꿈… 잘 기억은 안 나는데, 기분은 괜찮았어.§오늘은 이불이 나를 놓아주질 않네…§기상 완료! 몸은 깼는데 마음은 침대에 있어.",
NORMAL,PRINCESS,,,,,IDLE,0,,ACT,,,,,오늘은 뭘 할까?,
CONDITION,PRINCESS,MORNING,VITALITY,`==,5,IDLE,1,,,,,,,활기찬 아침!!§오늘따라 기분이 좋은걸§날씨가 너무 좋아,
NORMAL,PRINCESS,,,,,IDLE,0,,ACT,,,,,오늘은 뭘 할까?,
NORMAL,PRINCESS,MORNING,,,,HAPPY,0,,ACT,,,,,안녕!! 행복한 아침이야!!,
,,,,,,,,,,,,,,,
MULTI,PRINCESS,MORNING,VITALITY,`==,5,,,"1,3",,,,,,멀티 동작,
NORMAL,PRINCESS,,,,,,1,,,,,,,멀티1,
NORMAL,PRINCESS,,,,,,0,,ACT,,,,,1동작 했습니다,
NORMAL,PRINCESS,,,,,,0,,ACT,,,,,멀티2,
NORMAL,PRINCESS,ENDING,,,,HAPPY,1,,,,,,,...아빠. 벌써 일어났어요??,
NORMAL,FATHER,,,,,IDLE,1,,,,,,,응. 오늘은... 그냥 눈이 떠지더라.,
NORMAL,PRINCESS,,,,,IDLE,1,,,,,,,나도... 잠이 잘 안 왔어요.,
NORMAL,PRINCESS,,,,,IDLE,1,,,,,,,...  ...   ...,
NORMAL,PRINCESS,,,,,IDLE,1,,,,,,,혹시... 나가봤어요??,
NORMAL,FATHER,,,,,HAPPY,1,,,,,,,아니. 너랑 같이 보려고.,
NORMAL,PRINCESS,,,,,IDLE,1,,,,,,,"...만약, 열매가... 안 자랐다면...?",
NORMAL,FATHER,,,,,HAPPY,1,,,,,,,"그래도... 네가 함께해줘서, 그 시간은 헛되지 않았어.",
NORMAL,PRINCESS,,,,,SAD,1,,,,,,,"...그런 말 , 너무 슬퍼요.",
NORMAL,FATHER,,,,,HAPPY,1,,,,,,,"슬프지 않게 해줄게. 가자. 우리 딸. 열매, 보러 가자.",
CHOICE,FATHER,,,,,,,"1,2,3",,,,,,,
OPTION,FATHER,,,,,,0,,EXIT,TRUST,`+,1,,당당하게 나간다.,
OPTION,FATHER,,,,,,0,,EXIT,VITALITY,`+,1,,딸의 손을 잡고 나간다.,
OPTION,FATHER,,,,,,0,,EXIT,MOOD,`+,1,,딸을 안고 나간다.,
,,,,,,,,,,,,,,,
CHOICE,MERCHANT,,,,,IDLE,,"1,2",,,,,,거래를 하러 왔나?,
OPTION,MERCHANT,,,,,IDLE,0,,SHOP,,,,,산다,
OPTION,MERCHANT,,,,,IDLE,0,,EXIT,,,,,안산다,
,,,,,,,,,,,,,,,
NORMAL,PRINCESS,EVENING,,,,IDLE,0,,ACT,,,,,오늘도 고생하셨어요!,
NORMAL,PRINCESS,EVENING,,,,HAPPY,0,,ACT,,,,,오늘 아빠가 시킨게 있었나..? 나는 오늘 잘 놀았어!!,
,,,,,,,,,,,,,,,
CONDITION,PRINCESS,EVENING,HUNGER,>=,7,SAD,1,,,,,,,아빠.. 왜 이렇게 늦게왔어.. 배고파 죽을 뻔 했짠ㄶ아,
NORMAL,PRINCESS,,,,,,0,,ACT,,,,,밥줘!,
,,,,,,,,,,,,,,,
NORMAL,PRINCESS,BOOK,,,,IDLE,1,,,,,,,무슨 책을 읽어볼까나~,
MULTI,PRINCESS,,MOOD,`==,8,IDLE,,"1,3",,,,,,음.. 오늘의 책은,
NORMAL,PRINCESS,,,,,,1,,,MOOD,`+,1,,어린왕자야!,
NORMAL,PRINCESS,,,,,,0,,ACT,HUNGER,-,1,,나는 장미가 될거야..,
NORMAL,PRINCESS,,,,,,1,,,VITALITY,`+,1,,이기적 유전자야!,
NORMAL,PRINCESS,,,,,,0,,ACT,HUNGER,-,1,,유전자가 사람을 조종하는걸까..,
,,,,,,,,,,,,,,,
CONDITION,PRINCESS,BOOK,MOOD,<,3,IDLE,1,,,,,,,책 읽을 기분이 아니야..,
CHOICE,PRINCESS,,,,,IDLE,,"1,2",,,,,,다른거 하면 안 될까?,
OPTION,PRINCESS,,,,,IDLE,2,,,,,,,그래,
OPTION,PRINCESS,,,,,IDLE,2,,,,,,,아니,
NORMAL,PRINCESS,,,,,HAPPY,0,,ACT,TRUST,`+,1,,정말? 아빠 최고야!,
NORMAL,PRINCESS,,,,,,0,,ACT,TRUST,-,1,,치.. 아빠 미워,
,,,,,,,,,,,,,,,
CONDITION,PRINCESS,BOOK,MOOD,>=,5,IDLE,1,,,,,,,어떤 책이 나를 기다리고 있는가!,
NORMAL,PRINCESS,,,,,,0,,ACT,MOOD,`+,1,,노인과 바다!!,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
NORMAL,PRINCESS,WANT_TO_DO,,,,IDLE,0,,WILL,,,,PLAY,음.. 오늘은 놀고싶어!,
NORMAL,PRINCESS,,,,,HAPPY,0,,ACT,VITALITY,`+,1,,오늘 잘 놀았어!!,
NORMAL,PRINCESS,WANT_TO_DO,,,,IDLE,0,,WILL,,,,READ_BOOK,책 읽을거야!,
NORMAL,PRINCESS,,,,,HAPPY,0,,ACT,ACADEMIC,`+,1,,책 잘 읽었어!!,
NORMAL,PRINCESS,WANT_TO_DO,,,,IDLE,0,,WILL,,,,MUSIC,음악 감상..?,
NORMAL,PRINCESS,,,,,HAPPY,0,,ACT,MUSIC,`+,1,,음악 잘 들었어!,
,,,,,,,,,,,,,,,
NORMAL,PRINCESS,WANT_TO_BE,,,,IDLE,0,,ACT,,,,,화가가 되어볼까나..,
NORMAL,PRINCESS,WANT_TO_BE,,,,IDLE,0,,ACT,,,,,응… 아직은 잘 모르겠어. 그냥 지금처럼 아빠랑 지내는 게 좋아.,
NORMAL,PRINCESS,WANT_TO_BE,,,,IDLE,0,,ACT,,,,,하고 싶은 건 많긴 한데… 뭘 제일 먼저 해볼지 고민 중이야.,
NORMAL,PRINCESS,WANT_TO_BE,,,,HAPPY,0,,ACT,,,,,"나… 하늘을 나는 사람도 될 수 있을까? 꼭 진짜 날아보는 거 말고, 그냥… 그런 느낌의 삶!",
NORMAL,PRINCESS,WANT_TO_BE,,,,IDLE,0,,ACT,,,,,"가끔… 엄마처럼 되고 싶다는 생각이 들어. 잊지 않게, 계속 기억하고 싶어서.",
,,,,,,,,,,,,,,,
NORMAL,PRINCESS,WANT_TO_EAT,,,,IDLE,0,,ACT,,,,,오무라이스가 먹고싶어..,
NORMAL,PRINCESS,WANT_TO_EAT,,,,IDLE,0,,ACT,,,,,계란죽… 먹고 싶어. 아플 때 엄마가 해줬던 거.,
NORMAL,PRINCESS,WANT_TO_EAT,,,,IDLE,0,,ACT,,,,,"아빠가 만든 달걀말이, 짠데 맛있단 말이야. 또 해줘.",
NORMAL,PRINCESS,WANT_TO_EAT,,,,IDLE,0,,ACT,,,,,진짜로 고기 넣은 카레… 언젠가 먹을 수 있을까?,
NORMAL,PRINCESS,WANT_TO_EAT,,,,IDLE,0,,ACT,,,,,찐 고구마! 그거 먹으면서 이불 속에 있으면 최고야.,
NORMAL,PRINCESS,WANT_TO_EAT,,,,IDLE,0,,ACT,,,,,달달한 빵… 막 나온 거. 손으로 찢어서 같이 먹는 거.,
NORMAL,PRINCESS,WANT_TO_EAT,,,,IDLE,0,,ACT,,,,,딸기잼 발라서 구운 토스트! 뜨거운 우유랑 같이.,
,,,,,,,,,,,,,,,
NORMAL,PRINCESS,MEMORY,,,,IDLE,0,,ACT,MOOD,`+,1,,옛날에 아빠랑 같이 갔던 호수가 생각나,
NORMAL,PRINCESS,MEMORY,,,,IDLE,0,,ACT,MOOD,`+,1,,"그때… 생일날 몰래 준비한 케이크, 사실 눈 감고 있었어도 다 들렸어.",
NORMAL,PRINCESS,MEMORY,,,,IDLE,0,,ACT,MOOD,`+,1,,옛날에 아빠랑 같이 갔던 호수가 생각나,
NORMAL,PRINCESS,MEMORY,,,,IDLE,0,,ACT,MOOD,`+,1,,"아빠가 늦게 와서 내 머리 쓰다듬어줄 때… 그 손 냄새, 아직도 기억나.",
NORMAL,PRINCESS,MEMORY,,,,IDLE,0,,ACT,MOOD,`+,1,,빨간 우산 하나 들고 둘이 비 오는 날 뛰어간 거… 진짜 영화 같았어.,
NORMAL,PRINCESS,MEMORY,,,,IDLE,0,,ACT,MOOD,`+,1,,아무 일도 없던 날인데… 그냥 같이 라면 끓여먹은 날이 왜 이렇게 또렷하지?,
NORMAL,PRINCESS,MEMORY,,,,HAPPY,0,,ACT,MOOD,`+,1,,"나 어릴 때 아빠가 장난감 사준다고 하루 종일 같이 돌아다닌 거! 결국 못 샀지만, 그게 제일 재밌었어.",
NORMAL,PRINCESS,MEMORY,,,,IDLE,0,,ACT,MOOD,`+,1,,"…엄마가 아프고 나서, 아빠 혼자 내 머리 묶어주던 날들. 많이 서툴렀지… 근데 그게 좋았어.",
,,,,,,,,,,,,,,,
NORMAL,PRINCESS,SWEET,,,,IDLE,0,,ACT,VITALITY,`+,1,,아빠 사랑해! 용돈 줘!,
NORMAL,PRINCESS,SWEET,,,,IDLE,0,,ACT,VITALITY,`+,1,,…응. 괜찮아. 아빠가 있어서.,
NORMAL,PRINCESS,SWEET,,,,HAPPY,0,,ACT,VITALITY,`+,1,,"후훗, 왜 그래. 갑자기 그러면… 조금 부끄럽잖아.",
NORMAL,PRINCESS,SWEET,,,,IDLE,0,,ACT,VITALITY,`+,1,,"그런 말, 자주 들으면 안 되는데… 오늘은 괜찮을지도.",
NORMAL,PRINCESS,SWEET,,,,IDLE,0,,ACT,VITALITY,`+,1,,"아빠는, 진짜 바보처럼 다정해.",
NORMAL,PRINCESS,SWEET,,,,IDLE,0,,ACT,VITALITY,`+,1,,"아빠 목소리… 이렇게 가까이서 들은 거, 오랜만이야.",
,,,,,,,,,,,,,,,
NORMAL,PRINCESS,TODAY,TIME,>,17,IDLE,0,,ACT,TRUST,`+,1,,오늘 하루는 어땠어요?,
NORMAL,PRINCESS,TODAY,TIME,<,13,IDLE,0,,ACT,TRUST,`+,1,,오늘 뭐 하실꺼에요?,
,,,,,,,,,,,,,,,
NORMAL,PRINCESS,SLEEP,,,,,0,,SLEEP,VITALITY,`+,1,,아빠 잘자!!,
NORMAL,PRINCESS,SLEEP,,,,,0,,SLEEP,VITALITY,`+,1,,아빠… 오늘도 같이 있어서 다행이야. 잘 자.,
NORMAL,PRINCESS,SLEEP,,,,,0,,SLEEP,VITALITY,`+,1,,눈 감으면… 엄마가 나올까? 아니면 아빠가 또 요리 망친 거?,
NORMAL,PRINCESS,SLEEP,,,,,0,,SLEEP,VITALITY,`+,1,,"오늘은 조금 행복했어. 그거면 됐지, 뭐.",
NORMAL,PRINCESS,SLEEP,,,,,0,,SLEEP,VITALITY,`+,1,,이불 냄새가 변했어. 농장 냄새야. 근데… 싫진 않아.,
NORMAL,PRINCESS,SLEEP,,,,,0,,SLEEP,VITALITY,`+,1,,"아빠, 나 내일도 눈 떴으면 좋겠다. 그냥, 진심으로.",
NORMAL,PRINCESS,SLEEP,,,,,0,,SLEEP,VITALITY,`+,1,,"하늘의 별이 진짜 예쁘면, 엄마가 웃고 있는 거라고 했지?",
NORMAL,PRINCESS,SLEEP,,,,,0,,SLEEP,VITALITY,`+,1,,…아빠 숨소리 들리면 편해서 잠이 와. 멀리 가지 마.,
NORMAL,PRINCESS,SLEEP,,,,,0,,SLEEP,VITALITY,`+,1,,내일 아침에도 아빠 얼굴 먼저 보고 싶어… 그럼 하루가 좀 덜 무서울 것 같아.,
,,,,,,,,,,,,,,,
